index,title,twi,english
18,Awo Mekra Yi Nyame Aye ,"﻿Ao me kra yi Nyame ayε, Ɔno nko na, Ɔsε ayeyi, Ao me kra yi Nyame ayε, Ɔno nko na, Ɔsε ndaase, Efiri sε Ɔyε Ɔbatan pa, N’ayε mu yie yε kεse, Ɔno na Ɔma ma yε nya nkwagye, Mɔbrɔhufo Egya,obiara nni hɔ tse sε Wo, Ɔno nko na, Ɔsε ayeyi, Ɔno nko na, Ɔsε ndaase, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Praise the Lord, O my soul), (He alone is worthy of praise), (Praise the Lord, O my soul), (He alone is worthy of thanks), (Because He is the good mother, His compassion is great) , (He has provided our salvation), (Merciful Father, there is none like You), (He alone is worthy of praise), (He alone is worthy of thanks)"
19,"Ayei Ayei Ayei, Wo Din No Wo Ho Se O ","﻿Ayei Ayei Ayei, Wo din ne Wo ho sε O, Yei Yei Yei, monngya me na menbɔ Ne din, Ɔyε me kyεm, me han ne me kataboɔ, Dɔm Barima Yesu ei, Wo din ne Wo ho sε O, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(You are worthy of Your name), (Let me mention His name), (He is my defense, my light and my covering), (Lord Jesus, You are worthy of Your name)"
20,Ayeyi Wura ,"﻿ Ei, Yeyi W’aye , Na ye ma Wo so, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Lord of Praise), (We praise You), (And we exalt You)"
21,Daa Daa Mebo Me Senku Daa ,"﻿Daa daa, mεbɔ me senku daa, Ɔsabarima, David ba mεbɔ me senku daa, Mede awerεhow, enigye mu mεbɔ me senku daa, Mede me tεkyerεma bεkamfo Wo, me Gyefo Nyankopɔn , Ɔsabarima, David ba mεbɔ me senku daa, Enigye mu o, awerεhow mu o, Mebɔ me senku daa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(I will always play my praise), (The Lord, Son of David, I will forever play your praise) , (I will gladly play Your praise with my , (I will adore you with my flute) , (The Lord, Son of David, I will forever play your praise) , (In joy and in sorrow), (I will play my praise), "
22,Daa Daa Yehowa Ye ,"﻿Daa daa Yehowa ye; (Na N’adɔyε wɔ hɔ daa) , Yehowa ye na N’adɔyε wɔ hɔ daa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(The Lord is good always); (And His love endures forever) , (The Lord is good and His love endures forever)"
23,Di Wo Hene ,"﻿ɔsoro yε Wo de, asaase yε Wo de, Ɔhen biara nnte sε Wo, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(The heavens belong to You, the earth belongs to You), (There is no King like You), (Be enthroned)"
24,Di Yεn Kan Okwankyerεfo Nyame ,"﻿Di yεn kan, ɔkwankyerεfo Nyame, Di yεn kan, na kyerε yεn kwan, Di yεn kan, ɔkwankyerεfo Nyame, Di yεn kan, na kyerε yεn kwan, W’asεm no, W’asεm no yε ogya, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Lead us, our Leader God) , (Lead us and show us the way), (Lead us, our Leader God) , (Lead us and show us the way), (Your Word), (Your Word is fire)"
25,Dεn Na Menfa Nda ,Dεn na menfa nda Onyankopon n’ase?Dεn na menfa nyi Onyankopon n’ayε?Me de ma no fafa beyi Nyame ayεNa ma bɔ ne din sε daa-nkwa NyameShare this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related,(What should I use to thank the Lord?)(What should I use to praise the Lord?)(I will use my mouth to Praise the Lord)(And mention His name as the Everlasting God)
26,Eda Yehowa Ne Ne Mba No Betwa Epo No ,"﻿εda Yehowa ne nemba no betwa epo no, Ehurusi bεba Israel, O Israel eni bεgye, Da no na Israel, eni bεgye, Ehurusi bεba Israel, O Israel eni bεgye, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(The day the Lord will cross the Red Sea with His children) , (There will be celebration in Israel), (O Israel will be joyful), (That day, Israel will be joyful), (There will be celebration in Israel), (O Israel will be joyful)"
27,"Emma M'eni Nwu, Emma M'atamfo Nsere Me(Kyere Me W'akwan) ","﻿Ɔto me pon, wɔ m’atamfo enim, (Don’t disappoint me, Don’t permit my enemies to mock me), (Lord, reveal Your glory), (Show me Your way), (Let me walk in Your truth)","(He set a table before me in the presence of my enemies), Emma m’eni nwu, εmma m’atamfo nsere me, Ewurade, hyε Wo enuonyam, Kyerε me W’akwan, na me mfa so, Ma me nantse wɔ nokware mu, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
28,"Enigye Sem Kese, Otse Dem Yi (Nyame Te Ase) ","﻿Enigye sεm kεse, ɔtse dεm yi, Yεn Dimafo Nyame tse ase, Nhyira nka yεn atseafo no, Wɔ awanwa dɔ a Ɔde dɔ yεn daa, Nyame tse ase O, Halleluyah, Ɔde N’adom no hwε yεn so daa daa, Ɔma yεn daa edziban, Ɔyε yεn hia adze nyinaa, Halleluyah, Nyame tse ase O daa, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Such great news as this), (Our Advocate is alive), (Blessed are we those who yet live), (For His wonderful abiding love towards us), (God is alive, Halleluyah), (He always cares for us with His grace), (He gives us our daily bread, He provides all our needs), (Halleluyah, God is alive forever)"
29,Enuonyam (Ma Me Mu Ade Nyinara) ,"﻿Ma me mu ade nyinara, hyε Wo enuonyam, Ma me mu ade nyinara, hyε Wo enuonyam, Enuonyam, Enuonyam, Enuonyam nka Oguamba a wokum no, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Let everything within me give You glory), (Glory, glory), (Glory to the Lamb that was slain)"
30,Enuonyam Enuonyam Nka Oguamba No ,"﻿Ɔɔε, (Glory, Glory to the Lamb) , (Lift up the Name of Jesus for He has triumphed), (Saints of God, praise Our King)","Enuonyam εnuonyam nka Oguamba No, Moma Yesu Din no so, na W’edi nkunim, Kristo Asafo no, mombɔ ose ma yεn Hen no, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
31,Ese Oluwa ,"Ese Oluwa !Ese Oluwa !He gave me shelter when I had no otherHe turn my darkness into lightHe put food on my table DaddyWho can be compared unto you?Awaupe Baba ooooAwadupe EledumareEse OluwaEse OluwaBaba, weyWe go praise You now,eeehPraise You Baba , Praise You Baba eeehShare this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related",Ese Baba OhAwadupe Baba…He made a way when there was no way(Awadupe Baba)You comfort me when I was lost( Awadupe Baba)(Awadupe Baba)(Awadupe Baba)Ese Baba ooAwadupe BabaBaba wey dey for heaven now  oohWe go praise You BabaWe go praise You Baba …..
32,"Ewurade, No Ne Me Edi No Yie (Adom Wura) ","﻿Ewurade, Wo ne me edi no yie, Sε mannda W’ase a, ne me yε bɔne ayεfo, Sε me kae, bebia me firi, Ne penpenso a Wo de me eduru a, Adom Wura, Wo ne me edi no yie, Ewurade, W’ayε bi, Ne a W’ayε ama me εsom me bo dodow, Nti W’aseda ndwom emmpa m’enumu da, Sε mennyi W’ayε a, na mennya ayε , Sε me kae, ne a mafa mu, Ne adom a Wo de adom me a, Adom Wura, Wo ne me edi no yie, Adom Wura, Adom Wura, Wo ne me edi no yie, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Lord, You have dealt well with me), (I would be a wrongdoer not to thank You), (When I remember where I came from), (And how far You have brought me), (God of all grace, You have dealt well with me), (Lord You have been good), (What You have done for me means so much), (Songs of thanks to You will not depart from my lips), (I would be ungrateful not to praise You), (When I remember what I have been through) , (And the grace You have graced me with), (God of all grace, You have dealt well with me), (God of  all Grace), (You have dealt well with me)"
33,Ewuradze Wonyi M'adze Nyinaa (Mame Yε Sε Obotantim A) ,"﻿Ewuradze Wo ne m’ade nyinaa, Sε wonnyi hɔ a, nka mennsε hwee, M’Agyenkwa dεifo ei,, Ewuradze m’ahoɔdzen nye Wo, Eno ntsi na mekoto serε Wo sε, Agyenkwa hyε Wo ho enuonyam, Ma nyimpa nyinaa nhu sε, Wo ne Ewuradze, Me Wura Nyame, Wo na me dan Wo, Mesu frε Wo a, Egya εya tsie me ne, Wo ne m’abandenden, Wo ne me Yehowa, Minnyi Obia Egya agye sε Wonkoaa, Fa Wo nsa tserenee no, Gye me firi m’atamfo nsa mu, Ma wonhyehyε nyinaa, Dan no yε nhyira ma me, Mefiri me nyimpa dua nyinara mu , Fa wo tumi no bɔ me ho ban, Na ma me yε sε obotantim a ennhinhim, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Lord You are my all), (Without You I am nothing), (My Savior) , (Lord You are my strength), (That is why I kneel asking of You), (Savior, glorify Yourself), (For all men to see), (You are Lord), (My Lord and God), (You are the One I look to), (When I cry to You, Father do listen to my voice), (You are my fortress), (You are my Lord), (I have no one but You), (With Your Righteous Hand), (Rescue me from the hands of my enemies), (Cause all their plans), (Turn them around to become blessings in my favor), (From every part of my being), (Protect me with Your power) , (And make me an immovable mountain)"
34,"Ewuradze, Yεbεsom Wo Dabaa ","﻿Ewuradze, yεbεsom wo dabaa, Oseeyee, monyi Ewuradze ayε, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Lord, we will praise you always), (Praise the Lord)"
35,Fa Me Yε Ne A Wopε ,"﻿Fa meyε ne a Wopε, Meyε Wo mogya somfo, Wode Wo mogya atɔ me, Ewurade, fa meyε ne a Wopε, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Use me as You please), (I am a servant of Your blood)  , (You have purchased me with Your blood)  , (Lord, use me as You please)"
36,Fa yεn si ,Fa yεn siFa yεn sie wo ataban na siAgya fa yεn sie,Agya fa yεn sieFa yεn sieFa yεn sie wo ataban na siShare this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related
37,Fa M’akoma (Gye W'ayeyi) ,"Gye w’ayeyi, M’EgyaFa m’akoma ne me nyimpa duaGye w’ayeyi, M’EgyaEgya, ɔba, Sunsum Kronkron bεgye w’ayeyiShare this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Take your praise my Father)(Take my heart and my body)(Take your praise my Father)(Father, Son and Holy Spirit come take Your praise)"
38,Fa W'akwan Hyε Yehowa Nsa ,"﻿Fa w’akwan hyε Yehowa nsa, Na fa wo ho to ne so, Na ɔno na, ɔbεyε, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Commit your ways to the Lord), (And rely on Him), (And He will perform)"
39,Gye W'ayeyi ,"﻿GYE W’ AYEYI (YOUR PRAISE), Ma ho ntsew mma wo , M’eni so , Ma me nhunu wo, Me nsa, m’ano, me kra, M’ahoᴐdzen, m’adwen, m’endze, Ne me ndwom, Gye w’ayeyi, M’ Agya , Fa m’akoma, Ne me nipa dua, Gye w’ayeyi M’Agya, Agya, Ͻba, Sunsum Krᴐnkrᴐn, Bԑgye w’ ayeyi, Obiara nsԑwo , Ͻte memu bibiara mu, Fame sԑ nea me te’ ara, Na mame yi wo ayԑ, Obiara nsԑwo, Ͻte memu bibiara mu, Fame sԑ nea me te’ ara, Na mame yi wo ayԑ, Gye w’ayeyi M’Agya, Fa m’akoma, Ne me nipa dua, Gye w’ayeyi M’Agya, Agya, Ͻba, Sunsum Krᴐnkrᴐn, Bԑgye w’ ayeyi, M’ Agya fa m’ akoma, Ne me nipa dua, Gye w’ayeyi M’Agya, Agya, Ͻba, Sunsum Krᴐnkrᴐn Bԑgye , W’ayeyi, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","Fa m’akoma (Take my heart), (May it be pure unto You) , (And my eyes) , (Let me see You) , (My hand, my mouth, my soul) , (My strength, my mind, my voice) , (And my song) , (Be praised, Abba Father)  , (Take my heart) , (And my body) , (Be praised Abba Father) , (Father, Son, Holy Ghost) , (Have Your praise) , (Nobody like You) , (In all things He’s with me) , (Accept me just as I am) , (So I may praise You) , (Nobody like You) , (In all things He’s with me) , (Accept me just as I am) , (So I may praise You), (Be praised Abba Father) , (Take my heart) , (And my body) , (Be praised Abba Father) , (Father, Son, Holy Ghost) , (Have Your praise) , (Father take my heart) , (And my body) , (Be praised Abba Father) , (Father, Son, Holy Ghost, receive) , (Your praise)"
40,Hena Ne Me Yehowa ,"﻿Hena ne me Yehowa, Wo de W’ahoɔden ama me, Hena ne me Jesus, Wo de Wo mogya atɔ me, Eyi ne ɔdɔ, ɔdɔ a εnsa, Yesu Wo dɔ n’agye me, Jesus dɔ me kosi owu mu, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Who am I, Lord, You have given me Your strength) , (Who am I Jesus, You have purchased me with Your blood), (This is a never ending love) , (Jesus’ love has saved me), (Jesus loves me till death)"
41,Hwan Na Na ,"﻿Hwan na na nguanhwefo , Koto no mmoadan mu ho , Chorus, (‘Tis the Lord! O wondrous story), (‘Tis the Lord the King of Glory), (At His feet we humbly fall), (Crown Him, crown Him Lord of all), Hwan na na orebo mpae , Wo esum ho Gathsemani , Hwan na na  w’afi awofum , Reboa yen regye yen kwa , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Who is He in yonder stall), (At whose feet the shepherds fall?), Ewuradze a, O anwanwasem , Ewuradze a, Enyinyam Hen no , Ontwa nhwe ne nan ase, Na wohye n’aboso Hen , Verse 2, (Lo, at midnight, who is He), (Prays in dark Gethsemane?), (Who is He that from the grave), (Comes to heal and help and save)"
42,"Hyε Den Na Mennsuro, Hyε Den Wɔ Jesus Mu ","﻿Hyε den na mennsuro, Hyε den wɔ Jesus mu, Sore na mennsuro, Sore wo Jesus mu, Wo Nyame a, wo som no daa daa, Ɔno na Ɔbεgye wo, ","(Be encouraged and don’t be afraid, Be encouraged in Jesus), (Arise and be not afraid, Arise in Jesus), (Your God whom you continually serve), (He will save you), Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
43,Jesus Wo Yε Jesus (Agya Onyame) ,"﻿VERSE 1, (Jesus You are Jesus), (Jesus the Savior of all creation), (Every tongue will declare Your lordship), (The lifter up of my head, prayer answering Jesus), (I declare Your lordship from my heart), εyε Wo na W’atɔ me aboɔden, W’etua me ka nyinaa ama me, Wo nkotoo na Wo sε ayeyi, Mede me ho nyinaa ma Wo, CHORUS, (Lord, Your grace is abundant), (Your grace has made me worthy), (Lord, You are precious to me), (I give You glory from my heart), Odom Barima Jesus, obotantim Nyankopɔn, Wona w’eyi me efiri akaka benfoɔ nsa mu, ɔdɔfɔ bεn na ɔtesε Wo, ɔgyefo bεn na ɔtesε Wo, Sε m’ennya Wo nka me yε dεn, Odomfo Nyankopɔn, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","Jesus wo yε Jesus, Abɔde nyinaa Wura Jesus, Tεkyerεma nyina bεka sε Wo yε Owura, Metsi pegyafo Jesus, mpaebɔtiefo Jesus, Mefiri m’akoma mu meka sε Wo yε Owura, REFRAIN, (You purchased me at a price), (You have paid all my debts), (You alone deserve the praise), (I give my whole being to You), Agya Onyame W’adom no dɔɔso, W’adom no nti menso ma sε bi, Agya Onyame Wo sombo mame, Mefiri  m’akoma mu me hyε W‘enuonyam, VERSE 2, (Jesus the Solid Rock), (You have delivered me from the hands of the evil one), (Who can love me like You), (What Savior is like You), (Without You what would I do), (My Lord)"
44,Kakyerε Yesu Sε ,"﻿Kakyerε Yesu sε, W’ahendze fata Wo , N’ahendze fata No , W’ahendze firi soro, N’ahendze firi soro, W’ahendze fata Wo , N’ahendze fata No , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Tell Jesus), (You deserve Your kingship), (He deserves His kingship), (Your kingship is divine), (His kingship is divine), (You deserve Your kingship), (He deserves His kingship)"
45,Kotodwe Nyina ,"﻿Kotodwe nyina beyi Nyame N’ayε , Tԑkyerԑma so bԑda Nyame n’ase, M’eyi N’ayε, M’eyi me Nyame N’ayε , Mԑda n’ase, mԑda me Nyame n’ase, Na y’aka sԑ Onyame kokroko, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Every knee will praise God), (Every tongue will thank God), (I will praise Him, I will praise my God), (I will thank Him, I will thank my God), (We will declare You are the Great God)"
46,Kristofo Gyidifom Mo Nsom No (Nyankopon Wo Yen Mu) ,"﻿Nyankopɔn wɔ yεn mu, moma yεn koto No, Na yεnfa suro nsom No, Ɔwɔ yεn dεm ha, monnyε kom wɔ mumu, Na monyi mo yamu nsom No , Kristofo, gyidifo mo nsom No nokware mu, Monyi N’ayε yie, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(God is among us, let us kneel before Him), (Let worship Him in reverence), (He is in this place, be quiet in yourselves), (And praise Him from within you), (Christians, Believers, worship Him in truth), (Praise Him appropriately)"
47,Krɔnkrɔn Ne Yehowa ,"﻿Krɔnkrɔn ne Yehowa , Bεgye w’ayeyi , W’abɔde nyinaa ka sε Wo sε ayeyi , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Holy is Jehovah), (Come and take Your Praise), (All creation says that You are worthy to be praised)"
48,Kunim Kunim Kunim ,"﻿Ɔɔε, (Victory, victory, victory; Victory is in the blood), (We triumph over the enemy in the blood)","; Kunim wɔ mogya ni mu, Yedi ɔtamfo ne so, wɔ mogya ni mu, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"
49,Kunimdi Wo Ho Ma Won A ,"﻿Kunimdi wɔ hɔ ma wɔn a wɔ twεn Jesus, Na ne mogya ayε wɔn akokyεm, Na n’asεm no yε, agyapade kεse ma wɔn, Na n’adom so eburuso ama wonyinaa, Momma yento, ayeyi ndwom ma No, Na hendze, enyuonyam sε No, Yεbεto, Yεbεto, Halleluyah ndwom na yεbεto, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(There is victory for those who wait on the Lord), (And His blood is a seal for them), (And His Word is a great inheritance for them), (And His grace abounds to them), (Let us sing songs of praises to Him), (His kingship is worthy of glory), (We will sing), (We will sing songs of praise)"
50,"Kyerεw, Kyerεw, Fa Wo Mogya Kyerεw ","﻿Kyerεw w’asεm no, wɔ m’akoma mu, Kyerεw, Kyerεw, fa wo mogya kyerεw, Na ma mewerεnfi, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Write Your word upon my heart), (Write, write, write with Your blood), (That I may never forget)"
51,M'akoma Ahyε Ma ,"﻿M’akoma ahyε ma, ahyε ma, eburu do, M’akɔtɔ ɔbonsam asɔkyer’ mu, Afei me hunu Jesus Otum Ɔgye me nkwa, M’akoma ahyε ma, ahyε ma, eburu do , Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related"," (My heart is glad and overjoyed), (I have fallen into the devil’s trap), (And now I  have seen the saving power of Jesus), (My heart is glad and overjoyed)"
52,Ma W'adom No Bra Yen So ,"﻿Ma W’adom no mbra yεn so, Yεserε Wo, Ewurade, Share this:Click to share on Twitter (Opens in new window)Click to share on Facebook (Opens in new window)Related","(Let Your grace come upon us), (We ask this of You, Lord)"
